EDR,CIL#,Varone #,Langner #,Insula,Text of Inscription,Caption for graffito,Translation,Commentary ,Tags / Keywords,New Tag Ideas,Is Textual/Translation Greatest Hit?,Commentary for Greatest Hits Page,Is Figural Greatest Hit?,Image for Greatest Hit,Morpholio Tracing,Choose Photos for EDR,EDR images on line,Images Not On-Line,Update EDR apparatus?,Notes,,,,,
EDR142441 ,10555,b,,4,Ad Ner[on---?],Series of letters,To Nero (?),"The text of this graffito are letters, however they don't seem to create a word. CIL thinks that it makes the phrase ""ad Nero"" meaning to Nero. However,  looking at the line drawing provided in CIL it is not obvious what the graffito is saying.","People, names, men, Politics, Political Office, emperor",,,,,,,no access (2016),Apograph (CIL),,,,,,,,
EDR142442,10556,a,,4,Cere(ri?) / Apollin(i),Series of letters,(Incomprehensible series of characters),"The text of this graffito are letters, however they don't seem to create a word. CIL thinks that it makes the names ""Cereri"" and ""Apolloni"". However,  looking at the line drawing provided in CIL it is not obvious what the graffito is saying.","Religion, Goddess, God","dedicatory inscription, dedication",,,,,,no access (2016),Apograph (CIL),,,,,,,,
EDR154447,10556,b,,4,"Ceres / Cossutius (?)
",Series of letters,(... other letters here...) Cossutius(?),"Cossutius is a nomen gentilicium. However, Cossutius may not be related to Ceres. It is written far enough below it to make it's inclusion in the same entry dubious. ","people, names, men, religion, goddess","dedicatory inscription, dedication",,,,,,no access (2016),Apograph (CIL),,,,,,,,
EDR151861,10557,,,4,ALS,Initials,---,"Initials of a Roman name, but it is unclear what the letters stand for. The reading of the third letter is unsure.","people, names, men, praenomen, nomen gentilicium, cognomen","Tria nomina, abbreviation",,,,,,no access (2016),None Available,,,,,,,,
EDR151863,10558,,,4,C(aius) Ostius,Graffito naming Caius Ostius,Caius Ostius,"This graffito could be the name Hostius. The letter H is often dropped off the beginning of words because it is pronounced more softly, therefore an inscriber having only heard the name might not know that an ""H"" starts the name. The name Costius, or Ostius (making the inscription C(aius) Ostius, do not exist, so Hostius would be the closest name.","people, names, men,","praenomen, gentilicium",,,,,,plaster lost,None Available,,,,,,,,
EDR151864,10559,,,4,Romu(lus),Beginning of a name,Romu(lus?),,"people, names, men, ","King, Romulus,",,,,,,plaster lost,None Available,,,,,,,,
EDR151865,10560,,,4,Reste,Beginning of a name (?),Rest(itutus?),,,,,,,,,could not find,None Available,,,,,,,,
EDR151866,10561,,,4,Onesimus,Graffito naming Onesimus,Onesimus,"Transliterated Greek name ""Ονησιμος"", meaning ""useful"".  This name appears  six times in Herculaneum (five times as ""Onesimus"" and once as ""(O)νηcιμοc""), 17 times in Pompeii (sixteen times as ""Onesimus"" and once as ""Honesimus""), once in Surrentum (""Onesimus""), once in Neapolis (Onesi[mus]), and twelve times in Puteoli (all ""Onesimus""). Many of them are freed slaves, though the name seems popular as a Romen cognomen as well. Cf. 10598.","people, names, men",Greek name,,,,,- - - ,no access (2016),None Available,,,,,,,,
EDR144348,10561 (nota),,2319,4,((:basis columnae)),Drawing of a column base,,This column base is located near 5 other similar column bases.,"Drawing, Architecture, column base",,,,,,- - - ,no access (2016),Apograph (Langner),,,,,,,,
EDR144349,10561 (nota),,2320,4,((:basis columnae)),Drawing of a column base,,This column base is located near 5 other similar column bases.,"Drawing, architecture, column base",,,,,,- - - ,no access (2016),Apograph (Langner),,,,,,,,
EDR145004,10561 (nota),,1108,4,((:cervus a cane assultatus)),Drawing of a stag and a dog,,"This drawing is one of many drawings of stags. These drawings were all located near each other and gave the house its name ""The House of the Stags"".","Drawing, Animals, Deer, Activities, hunting",dog,,,,,- - - ,no access (2016),Apograph (Langner),,,,,,,,
EDR145771,10561 (nota),,734,4,((:figura virilis)),Drawing of a man,,,"Drawings, Human, Human figure",,,,,,- - - ,no access (2016),Apograph (Langner),,,,,,,,
EDR143900,10561 (nota),,909,4,"((:gladiator, murmillo cum galea et scuto))",Drawing of a gladiator ,,Drawing of a murmillo with his helmet and shield.,"Drawings, Human, Human figure, gladiators, helmet, shield, single gladiator, types of gladiators, murmillo",,,,,,- - - ,no access (2016),Apograph (Langner),,,,,,,,
EDR144352,10561 (nota),,2322,4,((:basis columnae)),Drawing of a column base,,This column base is located near 5 other similar column bases.,"Drawings, Architecture, Column base",,,,,,- - - ,no access (2016),Apograph (Langner),,,,,,,,
EDR145005,10561 (nota),,1109,4,((:cervus)),Drawing of a stag,,"This drawing occurs in close proximity to many other drawings of stags - CIL IV.10561 (nota). These drawings give the house its name: ""The House of the Stags"".","Drawings, Animals, Deer",,,,,,- - - ,no access (2016),Apograph (Langner),,,,,,,,
EDR145006,10561 (nota),,1110,4,((:cervus)),Drawing of a stag,,"This drawing occurs in close proximity to many other drawings of stags - CIL IV.10561 (nota). These drawings give the house its name: ""The House of the Stags"".","Drawings, Animals, Deer",,,,,,- - - ,no access (2016),Apograph (Langner),,,,,,,,
EDR145008,10561 (nota),,1125,4,((:cervus a viro laqueo captus et a cane assultatus)),Drawing of a stag,,"This drawing occurs in close proximity to many other drawings of stags - CIL IV.10561 (nota). These drawings give the house its name: ""The House of the Stags"".","Drawings, Animals, Deer, Activities, hunting, Human, human figures, ","dog, rope, lasso",,,,,- - - ,no access (2016),Apograph (Langner),,,,,,,,
EDR145009,10561 (nota),,1310,4,((:vir cervum equitans)),Drawing of a stag and a man,,"The drawings of deer give the house its name, ""The House of the Stags"". This drawing occurs in close proximity to many other drawings of stags - CIL IV.10561 (nota). This drawing is different than the rest because a man appears to be riding the deer.","Drawings, Animals, deer, Human, human figures",Riding,,,,,- - - ,no access (2016),Apograph (Langner),,,,,,,,
EDR144353,10561 (nota),,2323,4,((:basis columnae)),Drawing of a column base,,This column base is located near 5 other similar column bases.,"Drawings, Architecture, column base",,,,,,- - - ,no access (2016),Apograph (Langner),,,,,,,,
EDR144350,10561 (nota),,2321,4,((:basis columnae)),Drawing of a column base,,This column base is located near 5 other similar column bases.,"Drawings, Architecture, column base",,,,,,- - - ,no access (2016),Apograph (Langner),,,,,,,,
EDR145764  ,10561 (nota),,1509,4,((:cervus)),Drawing of a stag,,"This drawing occurs in close proximity to many other drawings of stags - CIL IV.10561 (nota). These drawings give the house its name: ""The House of the Stags"".","Drawings, Animals, deer",,,,,,- - - ,no access (2016),Apograph (Langner),,,,,,,,
EDR145765,10561 (nota),,1510,4,((:cervus)),Drawing of a stag,,"This drawing occurs in close proximity to many other drawings of stags - CIL IV.10561 (nota). These drawings give the house its name: ""The House of the Stags"".","Drawings, Animals, deer",,,,,,- - - ,no access (2016),Apograph (Langner),,,,,,,,
EDR145766,10561 (nota),,1511,4,((:cervus)),Drawing of a stag,,"This drawing occurs in close proximity to many other drawings of stags - CIL IV.10561 (nota). These drawings give the house its name: ""The House of the Stags"".","Drawings, Animals, deer",,,,,,- - - ,no access (2016),Apograph (Langner),,,,,,,,
EDR145767,10561 (nota),,1595,4,((:animal)),Drawing of an animal,,"Martin Langer calls this a ""Vierbeiner"", or ""four-legged friend"", as the animal is unidentified.","Drawings, Animal",,,,,,- - - ,no access (2016),Apograph (Langner),,,,,,,,
EDR145768,10561 (nota),,1596,4,((:animal)),Drawing of an animal,,"Martin Langer calls this a ""Vierbeiner"", or ""four-legged friend"", as the animal is unidentified.","Drawings, animal",,,,,,- - - ,no access (2016),Apograph (Langner),,,,,,,,
EDR144347,10561 (nota),,2318,4,((:basis columnae cum parte columnae ornamentae et fortasse scalae)),Drawing of a column base,,This column base is located near 5 other similar column bases. This one is unique compared to the other bases because it is more decorated.,"Drawings, Architecture, Column base",,,,,,- - - ,no access (2016),Apograph (Langner),,,,,,,,
EDR145007 ,10561 (nota),,1124,4,((:cervus a viro laqueo captus)),Drawing of a stag,,"This drawing occurs in close proximity to many other drawings of stags - CIL IV.10561 (nota). These drawings give the house its name: ""The House of the Stags"".","Drawings, Animals, deer, Human, human figure, Activities, hunting","Rope, lasso",,,,,- - - ,no access (2016),Apograph (Langner),,,,,,,,
EDR140135,10562,,,5,hic amor sapiet,Statement about love ,Here love will be wise,"""Sapio, sapere"" has many different connotations. Is love wise? Discreet? Does love have good taste?","Emotions, love, erotic",innuendo,,,,,,3922,"Apograph (Varone), HGP 2016",Photo (Varone- don't add),,,,,,,
EDR140124  ,10563,a,,5,quis d,Graffito,Who...,"This interrogative pronoun is located near another one, CIL IV.10563b.",,"question, interrogative, interrogative pronoun",,,,,complete,3934,HGP 2016,Photo (Varone- don't add),,,,,,,
EDR140125,10563,b,,5,quid,Graffito,What,"This interrogative pronoun is located near another one, CIL IV.10563a.",,"question, interrogative, interrogative pronoun",,,,,- - -,couldn't find,,Photo (Varone- don't add),,,,,,,
EDR140129,10563,c,,5,MAL,Initials (?),---,,"nonsense, textus non legitur",,,,,,- - - ,couldn't find,,Photo (HGP)?,,,,,,,
EDR140146,10563,d,,5,SA,Beginning of a word,---,,"nonsense, textus non legitur",,,,,,- - -,couldn't find,None Available,,,,,,,,
EDR140132,10564,,,5,Mam(ius),Beginning of a name (?),Mam(ius?),,"People, Personal name, Nomen gentilicium",,,,,,,6368,HGP 2016,"Photo (Varone- don't add), Photo (HGP)",,,,,,,
EDR151867,10565,,,5,Vinum acceptum / ab domino VII Idus Apriles,Statement about a transaction ,Wine (was) received from the master seven days before the Ides of April.,Describes the transaction of wine and the date on which it happened.,"Advertising/Public Notice, drink, date, ides, days, Roman Numerals, Number","master, wine",,,,,- - -,no access (2016),Apograph (CIL),"Apograph (Della Corte), Photo (HGP)",,,,,,,
EDR151868,10566,,,5,"<:columna I〉Aquaria dua cum basis / Aqua(ria?) in manus dua cum basis / Hamas duas cum basis / Aqua(rium?) in manu cotidianu I / cum basis / Urciolos duos / Candelabra quatuor / et lucubratoriu(m) unum / Lucerna(m) aenea(m) / Hamula(m) una(m) / Pelvi(s) cum basim / et lytrum / Gutos tres / Scapheola dua / Ferreas strig(i)les VII / Haenas quattor

〈:columna II〉Marmor(em) cum basim / aenea / Fuminaria dua",Inventory ,"Column I: Two water jugs with bases, two (hand-sized?) water jugs with bases, two water buckets with bases, a (hand-sized?) water jug with a base for everyday use, two little pitchers, four lamp-stands, one night lamp, a bronze lamp, one small water bucket, a basin with a base, and a hand basin, three flasks, two small drinking vessels, seven iron strigils, four bronze (objects?). // Column II: marble with a base, two bronze fire-pokers(?)","List of various jugs, liquid vessels, and other instruments. Is right below CIL IV.10565 which describes a transaction of wine.","Architecture, Columns, ","labor/work, copper, iron, vessel, marble, lamp, candle, hand, water",,,,,- - -,,Apograph (CIL),Photo (HGP),,,,,,,
EDR140039  ,10567,,,5,〈:columna I〉branc / broc / trans / nus〈:columna II〉nos/ter / tros / men 〈:columna III〉quod / quid / quae / quas〈:columna IV〉rum / quis / que / dem〈:columna V〉con / les / lis / muḷ〈:columna VI〉mol / ma / me / mae,Grammatical exercise,---,"These are what are presumed to be grammatical exercises. However, many of the words have no definable meaning.","Architecture, Columns, grammatical",,,,,,- - -,no access (2016),Apograph (CIL),"Photo (Varone- don't add), Photo (HGP)",,,,,,,
EDR140144,10568,,,5,Ma(n)sueta / tene ((:phallus)),Erotic graffito,"Mansueta, hold (on/it?)","The message was written in charcoal. It seems likely that someone came at a later point and added a drawing by scratching it into the wall plaster beside the text, probably creating a joke.","erotic, phallus, drawings, Sexual Anatomy",,,,,,- - -,no access (2016),None Available,,,,,,,,
EDR140166,10569,,,5,Cum quidam pauper ligas vi[vere?------] NQ,Beginning of a poem,When a certain poor man...,This beginning of a verse appears in graffiti several times at Pompeii and Herculaneum...,social,economic,,,,,- - -,scaffolding prevented taking ipad photo,,Photo (Varone- don't add),,,,,,,
EDR140181,10570,,,5,Severus,Graffito naming Severus,Severus,,"Names, male",cognomen,,,,,complete (on Dr. B's ipad),5578,HGP 2016,Photo (Varone- don't add),,,,,,,
EDR140182,10571,,,5,CLXX,Roman numerals,"""170""",,"Numerical, Number",,,,,,complete,,,Photo (Varone- don't add),,,,,,,
EDR140184,10572,,,5,Iuvari,Graffito,To be helped,,,Verb,,,,,- - -,couldn't find (plaster lost?),,,,,,,,,
EDR140185,10573,,,5,VERIII,Graffito naming Verus(?),---,"Solin suggests that this should be read as ""Verei"", the vocative for the name Vereius, a name known from Spain, Britain, and Africa.","nonsense, textus non legitur",,,,,,- - -,couldn't find (plaster lost?),,,,,,,,,
EDR150399,10574,a,,5,L(uci) Aviani votum,Graffito mentioning a vow,"A vow (literally, something vowed) of Lucius Avianus",,"Prayers, Names, male",,,,,,- - -,couldn't find- periit (carbone),,,,,,,,,
EDR140186,10574,b,,5,Φab(ius),Graffito in Greek ,Fab(ius),"Possibly sexual (What? Not us- Lilly and Nathan) The name of a Romen gens transliterated into the Greek. The ""a"" and ""b"" in caps are probably the Greek ""α"" and ""β"".  Della Corte and CIL decided to label this as **** rather than ***","People, Personal name, Nomen gentilicium, Male, Language, Greek, Transliteration",,,,,,- - -,couldn't find- periit (carbone),,,,,,,,,
EDR140195,10575,,,5,XI k(alendas) pane(m) factum / III nonas pane(m) factum /〚III〛,Statement about a transaction,"Eleven days before the Kalends, bread was made. Three days before the Nones, bread was made.",This graffito shows the Roman dating system. For more information on that go to the commentary for CIL IV.10579,"Food, dates, Nones, Kalends, calendar",bread,,,,,- - -,no access (2016),Photo (Varone),Photo (HGP?),,,,,,,
EDR140197,10576,,,5,ROM,Beginning of a name (?),"Rom(ulus?), or Rom(a?)","This could be Roma, Romula, or Romulus, or the initials of a tria nomina.","nonsense, textus non legitur",,,,,,- - -,no access (2016),Photo (Varone),*Wait on HGP 2014 photos?,,,,,,,
EDR140200,10577,,,5,Προκλα,Graffito in Greek,Procla,"The name Προκλα is a fairly common Greek name. It even appears in Italy a few times. CIL says to use Προκλα for Procula, though Προκλα is a name and does not necessarily need to be changed.","Names, male",,,,,,- - -,no access (2016),Photo (Varone),Photo (HGP?),,,,,,,
EDR140206,10578,,,5,<:columna I> Rom(a?) / ω / R <:columna II> Ocaeanus,Graffito naming Oceanus,(...) Oceanus,Ask about this ω.,"Geography, Rome, bilingual, drawings, Architecture, columns","ocean, ",,,,,- - -,no access (2016),Photo (Varone),*Wait on HGP 2014 photos?,,,,,,,
EDR140188,10579,,,5,VIII K(alendas) Martias / Numisii Genialis / gladiatorum paria X / Herculani,Statement about gladiatorial games,"On the eighth day before the Kalends of March (= February 24), ten pairs of gladiators (sponsored by) Numisius Genialis (will fight) at Herculaneum ","This graffito is an informal announcement for gladiatorial games. In Pompeii we see large painted announcements of games, but this is very different because it is on a much smaller and less public scale. It states there will be a match that will have ten pairs of gladiators figthing. It is also important to note that the benefactor of these games appears to be a single person: Numisius Genialis. Advertisements in Pompeii usually announce twenty pairs of gladiators, so by comparison this a much smaller fight but still impressive since it seems that there is only a single benefactor. This graffito shows that there was a gladiatorial presence in the city of Herculaneum. There are also drawings of gladiator helmets which show that there was interest in gladiators in the city. Gladiatorial games were often used to improve public morale and were put on by the political elite to gain more popularity in the city. Evidence of gladiatorial games come from all over the Roman world, so is a common event. 
This graffito also provides an example of the dating system the Romans used. Instead of numbering the days of the month from one to thirty, the Romans named only three days in the month: the kalends, the nonnes, and the ides. The rest of the days were counted backwards from the closest named date. In this case the date that the games will be held is eight days before the kalends of March, meaning eight days before the first of March, which is February 24th.","Dates, Names, male, gladiators, kalends, Roman Numerals, Number, gladiator contest ",,Y,"This graffito is an informal message giving details about a gladiatorial spectacle. In Pompeii, large painted notices served as advertisements for gladiatorial games. This graffito provides some of the same details (date of the match, number of gladiators to fight, location of games), but this message was scratched into wall plaster as a personal reminder or note, and is much smaller than the large, public notices at Pompeii. The graffito details a match featuring ten pairs of gladiators. Advertisements in Pompeii usually announce twenty pairs of gladiators, so this event at Herculaneum was smaller but still impressive. The gladiators all appear to belong to the same troupe, owned by Numisius Genialis. This message is a rare piece of evidence that points to a gladiatorial presence in the city of Herculaneum. A house in Insula V also features drawings of gladiator helmets, likewise incised (i.e. figural graffiti), which further show interest in gladiators in this city. Gladiatorial games were often used to improve public morale and were put on by the political elite to gain popularity. Evidence of gladiatorial games comes from all over the Roman world, and the spectacles inspired much enthusiasm.This graffito provides an example of the calendar system the Romans used. Instead of numbering the days of the month from one to thirty, the Romans named only three days in the month: the Kalends, the Nones, and the Ides. All other days counted backwards to the next named date. In this case, games will be (or were) held eight days before the Kalends of March, i.e., eight days before the first of March, or February 24th (counting inclusively).",,,- - - ,no access (2016),None Available,,,,,,,,
EDR140191,10580,,,5,ex sept(em?),Wordplay (anagram),I wiped myself,How is this wordplay? I can't remember,"Numerical, Number ",,,,,,- - -,no access (2016),"Apograph (CIL), Entry (CIL)",,,,,,,,
EDR140141  ,10581,,,5,Centurio / centonem non habet / cen(---?),Statement about a centurion,The centurion does not have a blanket (...),This is the only graffito referencing anything about the miltary that we see in Herculaneum.     Patch-work quilt or cap worn under the helmet.,"Occupations, weavers","military, textiles",,,,,- - -,no access (2016),,Photo (Varone- don't add),,,,,,,
EDR140138,10582,,,5,Burr[us] petat H(---),Graffito,Burr(us) seeks (?),"A proposed translation for this is ""Burrus seeks"" however we cannot be sure of what the graffito is saying; there is some ambiguity. The first four letters of Burrus are visible and it is thought that they would finish to the name Burrus, though one cannot be sure. The reading of the incription was pedad, which CIL suggests should be changed to petat. ","Names, male",,,,,,- - -,no access (2016),,"Photo (HGP), Photo (Varone- don't add)",,,,,,,
EDR151872,10583,a,,5,Q(uintus) Albinius L(uci) F(ilius),Graffito naming Quintus Albinius,"Quintus Albinius, son of Lucius. ",,"Names, male",,,,,,- - -,no access (2016),None available,,,,,,,,
EDR140139,10583,b,,5,Salvia Superba,Graffito naming Salvia Superba,Salvia Superba,,"Names, female",,,,,,- - -,no access (2016),,Photo (HGP),,,,,,,
EDR140134,10584,,,5,David,Graffito naming David,David,There's got to be something we can say about this one-more than just that there is evidently some little Hebrew presence in the area.,"Names, male","Hebrew Name(?), religion",,,,,- - -,no access (2016),"Apograph (Deiss), Photo (Varone)",Photo (HGP),,,,,,,
EDR140164  ,10585,,,5,[---]N LA[---],Series of letters,---,Plaster missing to the left.,"Nonsense, textus non legitur ",,,,,,- - -,no access (2016),,Photo (Varone- don't add),,,,,,,
EDR140167,10586,a,,5,CEN,Series of letters,---,,"Nonsense, textus non legitur ",,,,,,- - -,no access (2016),None available,,,,,,,,
EDR140169,10586,b,,5,GENT[--]RR[---],Series of letters,---,,"Nonsense, textus non legitur ",,,,,,- - -,no access (2016),,Photo (Varone- don't add) ,,,,,,,
EDR140175      ,10586,c,,5,[---] DIII VII,Series of letters,---,,"Nonsense, textus non legitur, Roman Numerals, Number",,,,,,- - -,no access (2016),None available,,,,,,,,
EDR140178,10586,d,,5,cui in,Graffito,to whom in . . . ,,"Nonsense, textus non legitur ",,,,,,- - -,no access (2016),,Photo (Varone- don't add),,,,,,,
EDR145296 ,10586 (nota),,486,5,((:viri imago ad sinistram)),Drawing of a man,,,"drawings, human, human figure",,,,,,- - -,no access (2016),None available,,,,,,,,
EDR140179,10587,,,5,P S (A)edituis,Graffito mentioning an office,P S   For the temple-attendants(?),"aedituus = aeditumus (OLD), but former form in inscriptions; is this nom sg or dat plural? It is unclear what the P and S signify.","Names, male",Publius S Aeditus,,,,,- - -,no access (2016),None available,,,,,,,,
EDR140127,10588,a,,5,Bal̂b(us),Beginning of a name,Balbus,"This graffito may be referring to Marcus Nonius Balbus, who was a patron of Herculaneum. He was the benefactor of many public buildings, such as the basilica. After his death the town erected a statue and plaque which listed his honors and deeds for the city, this inscription can be found as EDR073648. The ""l"" and the ""b"" are in nexus.","names, male, cognomen ",,,,,,,6722,HGP 2016,"CIL Entry, Photo (HGP?)",,,,,,,
EDR140057,10588,b,,5,Φιλιππι,Graffito in Greek,Oh Philippos!,"Possibly transliterated (?). This may be Φιλιππος, though it has a Latinized ending.","Names, male",,,,,,- - -,couldn't find (plaster in bad shape),,CIL Entry ,,,,,,,
EDR151873,10589,,,5,[---] socio F[---]/[---s?]AL(utem?),Graffito,(...) with a friend (...),"This graffito may contain greetings to a friend (socio), but much of the message is missing because of the deterioration of the wall plaster.","Salutations/ introductions, greetings/ hellos, SAL",friend,,,,,- - -,couldn't find- periit (carbone),None Available,,,,,,,,
EDR151874,10590,,,5,((:circulus duplex)) IIIII/XX/XX/X,Roman numerals,"""5"" ""20"" ""20"" ""10""",,"numerical, Number, Tally Marks, Drawings","geometric figures, circles",,,,,complete,595,"Apograph (CIL), HGP 2014",,,,,,,,
EDR151876,10591,,,5,Pr(etio?) XXX cu[+]XXX,Roman numerals,Price: 30   Cu(?): 30,"Perhaps the writer intended ""Pr"" as ""pretio"". Translation: ""With a price of '30', '30' (?)"". The meaning of ""cu"" is uncertain.","Numerical, Number, prices, money ",,,,,,- - -,couldn't find,None Available,,,,,,,,
EDR151877,10592,,,6,Spedio Antymo [- - -]/[redi?]bis e Pompeian[o]/a Colono sạ(lutem?)/est augusta̲l̲[is],Graffito mentioning travel,To Spedius Antymus (... other letters here...) from Colonus (... other letters here...),what should we say?,"Demonym, Pompeian, greeting, Social Class, freedmen, names, men (male, man), emperors, religion ","cult, honor",,,,,- - -,couldn't find- plaster lost and carbone,Entry (CIL),,,,,,,,
EDR151886,10593,,,6,Saco(mata?) XX,Mention of weights and measures,"Counterweights(?) ""20""",,"Numericals, Number",,,,,,- - -,plaster lost,none available,,,,,,,,
EDR151884,10594,,,6,Ἑρμία(ς),Graffito in Greek ,Hermias (i.e. a name),,"names, male",,,,,,- - -,plaster lost,none available,,,,,,,,
EDR151890,10595,,,6,[- - -]cio s(alutem?) morieris Tomi. / Feliciter,Graffito mentioning the city Tomis,(... other letters here...) you will die in Tomis. Good luck! ,"Tomis was an ancient city in Dacia, on the western side of the Black Sea. It is well known because it is where Ovid was sent for his exile.",saluatations/introductions,death,,,,,- - -,couldn't find- carbone,Apograph (Della Corte),,,,,,,,
EDR145936,10596,,,6,Echio va(le),Greetings to Echio,Goodbye Echio.,Cf. CIL IV.10643,"Salutations/ introductions, farewells/ goodbyes, va",,,,,,- - -,couldn't find- carbone,None available,,,,,,,,
EDR156776,10596 (nota),,1377,6,((:vir baculo nixus)),Drawing of a man,,Drawing of a man holding a walking stick,"Drawings, human, human figure",,,,,,- - -,couldn't find- carbone,None available,,,,,,,,
EDR151892,10597,,,6,Cosmus cas(tus?),Graffito naming Cosmus,Chaste(?) Cosmus.,Cosmus was a leading ungent dealer in Rome.,"names, male, cognomen ",,,,,,- - -,couldn't find- carbone,None available,,,,,,,,
EDR140145,10598,,,6,[Ὀ]νέϲιμοϲ/ευνυϲ/LI[-]EM,Graffito in Greek,Onesimus (. . .),"Transliterated Greek name ""Ονησιμος"", meaning ""useful"".  This name appears  six times in Herculaneum (five times as ""Onesimus"" and once as ""[O]νηcιμοc""), 17 times in Pompeii (sixteen times as ""Onesimus"" and once as ""Honesimus""), once in Surrentum (""Onesimus""), once in Neapolis (Onesi[mus]), and twelve times in Puteoli (all ""Onesimus""). Many of them are freed slaves, though the name seems popular as a Romen cognomen as well. Cf. 10561.","names, male",,,,,,- - -,couldn't find,None available,Photo (HGP),,,,,,,
EDR140151 ,10599,a,,6,A(ulus) Tati(us?)/[- - -]prius,Graffito mentioning names (?),Aulus Tati(us) (...other letters here...),,"Names, male",,,,,,complete,5882,HGP 2016,Photo (HGP),,,,,,,
EDR140709    ,10599,b,,6,[Vi]bius,Mention of a name (?),Vibius?,"The actual inscription is only the end of a name ""bius"", however ""Vi"" is thought to be the beginning. Vibius is a common nomen that is seen throughout Herculaneum in the Wax Tablets and the Album of Herculaneum.","Names, male",,,,,,complete,,None available,,,,,,,,
EDR140248,10600,,,6,"Cave(a)s, Timinia, / fures",Warning for Timinia,"Beware, Timinia: thieves!",A cautionary graffito.,"Names, Praenomen, Women (Female, woman)","cautionary messages, thieves",,,,,- - -,couldn't find,"None Available (no apograph, none listed)",,,,,,,,
EDR145935 ,10600 (nota),,1521,6,((:cervus stans)),Drawing of a stag,,A standing deer.,"Drawings, animals, deer",,,,,,- - -,couldn't find,None Available,,,,,,,,
EDR151896,10601,,,6,Fa̲t̲u̲u̲s̲,Insult (?),Idiot,CIL states that this graffito is in the same location as CIL IV.10600 and CIL IV.10602. Perhaps this is a bit of unflattering.,"humor, insults",,,,,,- - -,couldn't find,Apograph (CIL),Photo (HGP),,,,,,,
EDR151898,10602,,,6,Flavia Θ̲ l̲i̲(n)g̲i̲s̲ ,Series of characters,---,," Names, female, praenomen",,,,,,- - -,couldn't find,Entry (CIL),Photo (HGP?),,,,,,,
EDR151417 ,10603,,,6,Nicanor Ovas,Graffito naming Nicanor,Nicanor (...?),"Done in wet plaster with large letters in the female baths, possibly by one of the workers plastering the walls, this graffito is still very visible today.","Names, male, praenomen, salutations/introductions, farewells/goodbyes, va ",,,,,,complete,,HGP 2014,"Photo (HGP), Photo (Varone- don't add)",,,,,,,
EDR140061 ,10604,a,,6,[?--- acce]pit Secundus Crusali ser(vus?) et Valentina ((:phallus)),Graffito naming a slave,"Secundus, the slave of Crusalis, along with Valentina, received (...?)",This graffito was done in charcoal.,"political/social, Social Class, slaves, Names, female, erotic, Drawings, Sexual Anatomy, phallus",,,,,,- - -,couldn't find- periit (carbone),None available,,,,,,,,
EDR140062,10604,b,,6,(h)eribus miscella,Graffito,a mish-mash,This graffito was done in charcoal.,reading?,,,,,,- - -,couldn't find- periit (carbone),None available,,,,,,,,
EDR140034,10604,c,,6,Stirisc[us?---] [M]oschus Noeto ,Greetings (?),Stirisc(us?...) /  (M)oschus to Noetus,This graffito was done in charcoal.,"Nonsense, textus non legitur ",,,,,,- - -,couldn't find- periit (carbone),None available,,,,,,,,
EDR147607 ,10604 (nota),,384,6,((:herma viri cum palma)),Drawing of a man,,This is a drawing of a man with a palm.,"Drawings, human, herm, plant, palm frond",,,,,,- - -,couldn't find- periit (carbone),None available,,,,,,,,
EDR151901,10605,,,6,[- - - d]ece[mbr?- - -],Series of letters,(D)ece(mber?),"The palster is missing on either side of ""ece"" so we don't know what else would be written.","Nonsense, textus non legitur ",,,,,,- - -,couldn't find- periit (carbone),None available,,,,,,,,
EDR154566,10606,,,6,"Exem(p?)ta ste(r)cora a(ssibus) XI",Statement about a transaction,Dung removed for 11 asses (coins),Evidently plumbing was still expensive in the ancient world.,"Numerical, Number",,,,,,- - -,couldn't find ,None available,,,,,,,,
EDR140053,10607,,,6,R/Paris/amas,Graffito naming Paris,"R(?). Paris, you love",Where Paris is in the vocative.,"Emotions, love, Names, male, praenomen",,,,,,- - -,couldn't find,,Photo (HGP),,,,,,,
EDR152815,10608,,,6,Rare lali omnes a,Graffito,"Infrequently, all the lullabies(?)...","Is ""lali"" the cognomen ""Lalus""?",,,,,,,- - -,couldn't find,None available,,,,,,,,
EDR152929,10609,,,6,Hilarus,Graffito naming Hilarus (?),Hilarus,,"names, male, praenomen",,,,,,- - -,couldn't find,Apograph (CIL),,,,,,,,
EDR152930,10610,,,6,"[deli?]ciae [---]si tangere possem [---]entur aquas",Poetic graffito,my darling (...) if I may touch (passive verb here...) waters,,"Nonsense, textus non legitur ",water,,,,,- - -,couldn't find,Entry (CIL),,,,,,,,
EDR152931,10611,,,6,Sab / inio,Graffito naming Sabinius ,To Sabinius,"CIL says ""Sabinio <s>s(alutem), in which case the translation should be ""Hello to Sabinius""","Nonsense, textus non legitur ",,,,,,- - -,couldn't find,,,,,,,,,
EDR152962,10612,,,6,Aptos ((:signum incertum)) MME,Graffito,Cake (or loaf of bread). (symbol). MME.,"There is an ""uncertain sign"" inbetween the ""Aptos"" and the ""MME"" (possibly a tria nomina?) which has no known meaning. It looks like an arrow pointing up with a crossbar towards the bottum.",,,,,,,- - -,couldn't find,Entry (CIL),,,,,,,,
EDR152963,10613,,,6,XX IIIIIIIII,Tally marks,"""20"" ""9""",,"numerical, Number",,,,,,,,,Photo (Varone- don't add),,,,,,,
